id,position,unit,value_xmin,value_xmax,value_a,value_b,value_k1,value_k2,section,subsection,chapter,table_name
20,"3.Центральный пункт сбора и подготовки нефти, газа и воды (ЦПС), без стабилизации нефти, производительностью по товарной нефти: свыше 6 до 9 млн. т/год","1 млн. т/год",6,9,153822,5887,0.33,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
21,"4.Центральный пункт сбора и подготовки нефти, газа и воды (ЦПС), без стабилизации нефти, производительностью по товарной нефти: свыше 9 до 12 млн. т/год","1 млн. т/год",9,12,159731,5231,0.33,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
22,"5.Центральный пункт сбора и подготовки нефти, газа и воды (ЦПС), со стабилизацией нефти, производительностью по товарной нефти: от 1 до 3 млн. т/год","1 млн. т/год",1,3,169714,22683,0.29,1.08,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
23,"6.Центральный пункт сбора и подготовки нефти, газа и воды (ЦПС), со стабилизацией нефти, производительностью по товарной нефти:  свыше 3 до 6 млн. т/год","1 млн. т/год",3,6,198332,13144,0.29,1.08,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
24,"7.Центральный пункт сбора и подготовки нефти, газа и воды (ЦПС), со стабилизацией нефти, производительностью по товарной нефти:  свыше 6 до 9 млн. т/год","1 млн. т/год",6,9,232885,7383,0.29,1.08,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
25,"8.Центральный пункт сбора и подготовки нефти, газа и воды (ЦПС), со стабилизацией нефти, производительностью по товарной нефти: от 9 до 12 млн. т/год","1 млн. т/год",9,12,252016,5257,0.29,1.08,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
26,"9.Установка комплексной подготовки нефти (УКПН), производительностью по товарной нефти: от 1 до 3 млн. т/год","1 млн. т/год",1,3,123730,27940,0.28,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
27,"10.Установка комплексной подготовки нефти (УКПН), производительностью по товарной нефти: свыше 3 до 6 млн. т/год","1 млн. т/год",3,6,163331,14740,0.28,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
28,"11.Установка комплексной подготовки нефти (УКПН), производительностью по товарной нефти: свыше 6 до 9 млн. т/год","1 млн. т/год",6,9,194366,9570,0.28,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
29,"12.Установка комплексной подготовки нефти (УКПН), производительностью по товарной нефти: свыше 9 до 12 млн. т/год","1 млн. т/год",9,12,231446,5448,0.28,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
30,"13.Установка подготовки нефти (УПН), производительностью по товарной нефти: от 1 до 3 млн. т/год","1 млн. т/год",1,3,40388,29292,0.33,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
31,"14.Установка подготовки нефти (УПН), производительностью по товарной нефти: свыше 3 до 6 млн. т/год","1 млн. т/год",3,6,95716,10848,0.33,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
32,"15.Установка подготовки нефти (УПН), производительностью по товарной нефти: свыше 6 до 9 млн. т/год","1 млн. т/год",6,9,117360,7244,0.33,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
33,"16.Установка подготовки нефти (УПН), производительностью по товарной нефти: свыше 9 до 12 млн. т/год","1 млн. т/год",9,12,139065,4831,0.33,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
34,"17.Установка предварительного сброса пластовой воды (УПС), производительностью по жидкости: от 1 до 3 млн. т/год","1 млн. т/год",1,3,24570,4657,0.29,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
35,"18.Установка предварительного сброса пластовой воды (УПС), производительностью по жидкости: свыше 3 до 6 млн. т/год","1 млн. т/год",3,6,24605,4644,0.29,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
36,"19.Установка предварительного сброса пластовой воды (УПС), производительностью по жидкости: свыше 6 до 10 млн. т/год","1 млн. т/год",6,10,36349,2687,0.29,1.07,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
37,"20.Газокомпрессорная станция (КС), производительностью: от 100 до 300 тыс. нм3/сут","1 тыс. нм3/сут",100,300,11626,26,0.16,1.08,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
38,"21.Газокомпрессорная станция (КС), производительностью: свыше 300 до 500 тыс. нм3/сут","1 тыс. нм3/сут",300,500,14905,16,0.16,1.08,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
39,"22.Газокомпрессорная станция (КС), производительностью: свыше 500 до 850 тыс. нм3/сут","1 тыс. нм3/сут",500,850,17414,11,0.16,1.08,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
40,"23.Установка подготовки нефтяного газа, производительностью: от 100 до 300 тыс. нм3/сут","1 тыс. нм3/сут",100,300,13857,7,0.28,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
43,"26.Установка для улавливания нефтяных газов, сбрасываемых в атмосферу, производительностью: от 1 до 5 тыс. нм3/час","1 тыс. нм3/час",1,5,9174,1433,0.27,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
44,"27.Установка для улавливания нефтяных газов, сбрасываемых в атмосферу, производительностью: свыше 5 до 10 тыс. нм3/час","1 тыс. нм3/час",5,10,10987,1070,0.27,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
45,"28.Установка для улавливания нефтяных газов, сбрасываемых в атмосферу, производительностью: свыше 10 до 12 тыс. нм3/час","1 тыс. нм3/час",10,12,17435,425,0.27,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
47,"20.Сепарационные установки производительностью: от 0,5 до 5 тыс. м3/сут","1 тыс. м3/сут",0.5,5,1415,500,0.19,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
48,"36.Узел учета нефти производительностью: от 0,5 до 5 тыс. м3/сут","1 тыс. нм3/сут",0.5,5,977,312,0.23,1.05,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-02 - Объекты сбора и транспорта нефти и нефтяного газа"
49,"24.Установка подготовки нефтяного газа, производительностью: свыше 300 до 500 тыс. нм3/сут","1 тыс. нм3/сут",300,500,14257,6.07,0.28,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
50,"25.Установка подготовки нефтяного газа, производительностью: свыше 500 до 2000 тыс. нм3/сут","1 тыс. нм3/сут",500,2000,16048,1.02,0.28,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
51,"29.Факельная система, длина факельных трубопроводов: от 250 до 500 м","1 м",250,500,5987,4.09,0.29,1.01,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
52,"30.Факельная система, длина факельных трубопроводов: свыше 500 до 1000 м","1 м",500,1000,6291,1.03,0.29,1.01,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
53,"31.Факельная система, длина факельных трубопроводов: свыше 1000 до 1500 м","1 м",1000,1500,7892,1.01,0.29,1.01,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
54,"32.Факельная система, длина факельных трубопроводов: свыше 1500 до 2000 м","1 м",1500,2000,8370,1.01,0.29,1.01,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
55,"33.Факельная система, длина факельных трубопроводов: свыше 2000 до 2500 м","1 м",2000,2500,103655,0.56,0.29,1.01,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-03- Объекты подготовки нефти, газа и воды"
56,"1.Система заводнения продуктивных пластов нефтяных месторождений, с числом: от 2 до 10 нагнетательных скважин","1 скважина",2,10,1301,956,0.14,1.06,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
57,"2.Система заводнения продуктивных пластов нефтяных месторождений, с числом: свыше 10 до 50 нагнетательных скважин","1 скважина",10,50,9335,153,0.14,1.06,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
58,"3.Система заводнения продуктивных пластов нефтяных месторождений, с числом: свыше 50 до 80 нагнетательных скважин","1 скважина",50,80,9496,150,0.14,1.06,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
59,"4.Система заводнения продуктивных пластов нефтяных месторождений, с числом: свыше 80 до 175 нагнетательных скважин","1 скважина",80,175,9657,148,0.14,1.06,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
60,"5.Система заводнения продуктивных пластов нефтяных месторождений, с числом: свыше 175 до 300 нагнетательных скважин","1 скважина",175,300,13774,124,0.14,1.06,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
61,"6.Система заводнения продуктивных пластов нефтяных месторождений, с числом: свыше 300 до 360 нагнетательных скважин","1 скважина",300,360,15940,117,0.14,1.06,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
62,"7.Кустовая насосная станция для закачки пресной воды, производительностью: от 80 до 180 м3/час","1 м3/час",80,180,1875,3.04,0.3,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
63,"8.Кустовая насосная станция для закачки пресной воды, производительностью: свыше 180 до 360 м3/час","1 м3/час",180,360,2030,2.19,0.3,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
64,"9.Кустовая насосная станция для закачки пресной воды, производительностью: свыше 360 до 540 м3/час","1 м3/час",360,540,2125,1.91,0.3,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
65,"10.Кустовая насосная станция для закачки пресной воды, производительностью: свыше 540 до 720 м3/час","1 м3/час",540,720,2371,1.41,0.3,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
66,"11.Кустовая насосная станция для закачки пресной воды, производительностью: свыше 720 до 900 м3/час","1 м3/час",720,900,2419,1.41,0.3,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
67,"12.Кустовая насосная станция для закачки пресной воды, производительностью: свыше 900 до 1000 м3/час","1 м3/час",900,1000,2597,1.2,0.3,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
68,"13.Кустовая насосная станция для закачки пресной воды, производительностью: свыше 1000 до 1500 м3/час","1 м3/час",1000,1500,2664,1.13,0.3,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
69,"14.Кустовая насосная станция для закачки пресной воды, производительностью: свыше 1500 до 2000 м3/час","1 м3/час",1500,2000,2951,0.92,0.3,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
70,"15.Сооружения по приготовлению и дозированию ингибиторов, бактерицидов, растворов, щелочей, кислот, ПАВ и полимеров, производительностью: от 0,1 до 0,5 м3/сут","1 м3/сут",0.1,0.5,834,984,0.31,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
71,"16.Сооружения по приготовлению и дозированию ингибиторов, бактерицидов, растворов, щелочей, кислот, ПАВ и полимеров, производительностью: свыше 0,5 до 2,5 м3/сут","1 м3/сут",0.5,2.5,842,968,0.31,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
72,"17.Сооружения по приготовлению и дозированию ингибиторов, бактерицидов, растворов, щелочей, кислот, ПАВ и полимеров, производительностью: свыше 2,5 до 5 м3/сут","1 м3/сут",2.5,5,2366,359,0.31,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
73,"18.Сооружения по приготовлению и дозированию ингибиторов, бактерицидов, растворов, щелочей, кислот, ПАВ и полимеров, производительностью: свыше 5 до 10 м3/сут","1 м3/сут",5,10,3390,154,0.31,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
74,"19.Сооружения по приготовлению и дозированию ингибиторов, бактерицидов, растворов, щелочей, кислот, ПАВ и полимеров, производительностью: свыше 10 до 16 м3/сут","1 м3/сут",10,16,4137,79,0.31,1.14,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
75,"20.Система закачки в продуктивный пласт газа высокого давления и углеводородных растворителей, с числом: от 2 до 10 нагнетательных скважин","1 скважина",2,10,3759,988,0.29,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
76,"21.Система закачки в продуктивный пласт газа высокого давления и углеводородных растворителей, с числом: свыше 10 до 50 нагнетательных скважин","1 скважина",10,50,7944,570,0.29,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
77,"22.Система закачки в продуктивный пласт газа высокого давления и углеводородных растворителей, с числом: свыше 50 до 80 нагнетательных скважин","1 скважина",50,80,21135,306,0.29,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
78,"23.Система закачки в продуктивный пласт газа высокого давления и углеводородных растворителей, с числом: свыше 80 до 100 нагнетательных скважин","1 скважина",80,100,21662,299,0.29,1.09,"Раздел 1. Предприятия по добыче, транспорту и переработке нефти и газа","Подраздел 1 Нефтедобывающая промышленность","Глава 1 Нефтедобывающая промышленность","Таблица 1701-0101-04- Объекты поддержания пластового давления"
